	genotype
KX547164_2006.6849_USA_NY_Nassau_-73.504734_40.600288	WN02
KX547165_2005.6904_USA_NY_Broome_-75.755343_42.233977	WN02
KX547166_2003.8219_USA_NY_Greene_-74.186796_42.230852	WN02
KX547167_2013.674_USA_NY_Onondaga_-76.245673_42.780266	WN02
KX547168_2012.7377_USA_NY_Albany_-73.765455_42.7187	WN02
KX547169_2015.6685_USA_NY_Oswego_-76.022395_43.316724	WN02
KX547170_2003.726_USA_NY_Onondaga_-75.938065_43.084299	WN02
KX547171_2011.5863_USA_NY_Oneida_-75.287085_43.111661	WN02
KX547172_2009.6685_USA_NY_Greene_-74.105854_42.408242	WN02
KX547173_2005.663_USA_NY_Orleans_-78.192468_43.296081	SW03
KX547174_2013.537_USA_NY_Westchester_-73.700017_40.935558	WN02
KX547176_2003.611_USA_NY_Westchester_-73.60554_41.159844	WN02
KX547177_2012.5109_USA_NY_Rockland_-73.972968_41.289318	WN02
KX547179_2002.6_USA_NY_Richmond_-74.202638_40.577674	NY99
KX547180_2006.6822_USA_NY_Oswego_-76.274708_43.497803	WN02
KX547181_2003.7288_USA_NY_Ulster_-74.019411_41.761608	WN02
KX547182_2002.6932_USA_NY_Orange_-74.4697_41.393632	WN02
KX547183_2008.5546_USA_NY_Westchester_-73.68379_40.946631	WN02
KX547184_2013.6548_USA_NY_Onondaga_-76.014009_43.099774	WN02
KX547185_2012.6803_USA_NY_Erie_-78.820661_42.462559	WN02
KX547186_2008.5164_USA_NY_Nassau_-73.495208_40.620728	WN02
KX547187_2008.6557_USA_NY_Albany_-74.021768_42.718025	SW03
KX547188_2003.6192_USA_NY_Broome_-76.03133_42.18666	WN02
KX547189_2002.6027_USA_NY_Broome_-75.657773_42.13645	WN02
KX547190_2013.526_USA_NY_Nassau_-73.482182_40.641118	WN02
KX547192_2011.6438_USA_NY_Oneida_-75.636567_43.275789	WN02
KX547193_2005.7644_USA_NY_Nassau_-73.692838_40.608608	WN02
KX547194_2002.7205_USA_NY_NewYork_-73.951119_40.785201	NY99
KX547195_2007.7151_USA_NY_Bronx_-73.771456_40.852518	WN02
KX547196_2013.7096_USA_NY_Nassau_-73.560354_40.600408	WN02
KX547197_2004.5738_USA_NY_Ontario_-77.144672_42.979849	SW03
KX547198_2012.6557_USA_NY_Onondaga_-76.312415_43.008228	WN02
KX547199_2005.5479_USA_NY_Suffolk_-72.698073_40.786261	WN02
KX547200_2012.623_USA_NY_Orange_-74.645967_41.372513	WN02
KX547201_2012.5492_USA_NY_Nassau_-73.616911_40.613622	WN02
KX547202_2004.735_USA_NY_Niagara_-78.78466_43.111992	WN02
KX547203_2001.7562_USA_NY_Suffolk_-72.119556_41.201801	NY99
KX547204_2002.6959_USA_NY_Washington_-73.567305_43.534233	WN02
KX547205_2005.6301_USA_NY_Rockland_-74.14773_41.203475	WN02
KX547206_2015.5973_USA_NY_Chautauqua_-79.371988_42.159825	WN02
KX547207_2002.6164_USA_NY_Fulton_-74.140034_43.197458	WN02
KX547209_2006.8055_USA_NY_Montgomery_-74.736948_42.94633	WN02
KX547210_2001.6247_USA_NY_Nassau_-73.458287_40.616522	NY99
KX547211_2006.6932_USA_NY_Putnam_-73.969771_41.444997	WN02
KX547212_2003.7452_USA_NY_Orange_-74.381392_41.497582	WN02
KX547213_2002.6986_USA_NY_Ulster_-74.317597_42.001336	WN02
KX547214_2009.6904_USA_NY_Chautauqua_-79.268092_42.465571	WN02
KX547215_2006.6384_USA_NY_Niagara_-78.871732_43.178277	WN02
KX547216_2011.7068_USA_NY_Rockland_-74.155116_41.119214	WN02
KX547217_2005.7425_USA_NY_Kings_-73.879056_40.61873	WN02
KX547218_2003.6164_USA_NY_Monroe_-77.741875_43.005485	WN02
KX547220_2011.6274_USA_NY_Suffolk_-72.093023_41.071014	WN02
KX547221_2014.726_USA_NY_Nassau_-73.446092_40.618519	WN02
KX547222_2012.5109_USA_NY_Nassau_-73.42404_40.630796	WN02
KX547223_2005.7068_USA_NY_Queens_-73.847841_40.60705	WN02
KX547224_2006.6849_USA_NY_Rockland_-74.101023_41.154815	WN02
KX547226_2007.5616_USA_NY_Onondaga_-76.374551_42.943022	WN02
KX547227_2011.6658_USA_NY_Erie_-78.673338_42.606688	WN02
KX547228_2002.6904_USA_NY_Richmond_-74.15915_40.641847	NY99
KX547229_2006.6575_USA_NY_Orleans_-78.095417_43.274398	WN02
KX547230_2002.7178_USA_NY_Niagara_-78.70931_43.309064	WN02
KX547231_2007.5973_USA_NY_Westchester_-73.705446_40.942015	WN02
KX547232_2004.6612_USA_NY_Richmond_-74.203116_40.57788	WN02
KX547233_2007.5452_USA_NY_Richmond_-74.054633_40.578843	WN02
KX547234_2012.5027_USA_NY_Westchester_-73.683701_40.946144	WN02
KX547235_2015.6137_USA_NY_Orange_-74.077243_41.554196	WN02
KX547236_2011.7041_USA_NY_Onondaga_-76.150686_42.843208	WN02
KX547238_2002.6356_USA_NY_SaintLawrence_-74.973136_44.977183	WN02
KX547239_2003.6329_USA_NY_Suffolk_-73.025598_40.958481	WN02
KX547240_2008.6721_USA_NY_Westchester_-73.769002_40.885158	WN02
KX547241_2003.6877_USA_NY_Erie_-78.984649_43.034935	WN02
KX547242_2010.5863_USA_NY_Westchester_-73.772475_40.882753	WN02
KX547243_2006.6411_USA_NY_Lewis_-75.393892_43.809779	WN02
KX547244_2003.7507_USA_NY_Clinton_-73.909451_44.643989	WN02
KX547245_2002.6986_USA_NY_Nassau_-73.464396_40.867565	WN02
KX547246_2002.6795_USA_NY_Chemung_-76.586372_42.118128	WN02
KX547247_2002.6164_USA_NY_Erie_-78.943916_43.004693	WN02
KX547248_2003.7342_USA_NY_Rockland_-74.019126_41.093491	WN02
KX547249_2004.7049_USA_NY_Queens_-73.805067_40.621954	WN02
KX547250_2006.5863_USA_NY_Erie_-79.025215_42.69299	WN02
KX547251_2002.5452_USA_NY_Rockland_-73.960719_41.025802	NY99
KX547252_2002.6986_USA_NY_Onondaga_-76.151415_42.986503	NY99
KX547253_2004.4098_USA_NY_SaintLawrence_-75.033652_44.9329	NY99
KX547254_2013.5397_USA_NY_Suffolk_-73.296377_40.651277	WN02
KX547255_2011.6986_USA_NY_Oswego_-75.800834_43.588551	WN02
KX547256_2004.6066_USA_NY_Orange_-74.181022_41.2416	WN02
KX547258_2006.526_USA_NY_Ontario_-77.578201_42.684126	WN02
KX547259_2005.6082_USA_NY_Niagara_-78.661431_43.203752	WN02
KX547260_2006.6055_USA_NY_Onondaga_-76.28748_43.105424	WN02
KX547261_2002.674_USA_NY_Queens_-73.806226_40.714337	NY99
KX547262_2005.5479_USA_NY_Onondaga_-76.357315_42.972863	WN02
KX547263_2002.7068_USA_NY_Albany_-74.052004_42.712293	WN02
KX547264_2004.623_USA_NY_Livingston_-77.806112_42.761989	SW03
KX547266_2002.6027_USA_NY_Nassau_-73.578573_40.605264	NY99
KX547267_2003.7425_USA_NY_Dutchess_-73.957061_41.465056	WN02
KX547268_2006.6027_USA_NY_Nassau_-73.486953_40.611928	WN02
KX547269_2013.6411_USA_NY_Oswego_-75.955711_43.677306	WN02
KX547270_2006.6411_USA_NY_Albany_-74.19349_42.576298	WN02
KX547271_2006.611_USA_NY_Seneca_-76.79611_42.616962	WN02
KX547272_2001.5973_USA_NY_Suffolk_-73.221037_40.901631	NY99
KX547273_2006.5781_USA_NY_Erie_-78.735507_42.843673	SW03
KX547274_2013.6767_USA_NY_Madison_-75.636853_42.989114	WN02
KX547275_2004.6721_USA_NY_Jefferson_-76.401155_43.902256	WN02
KX547276_2011.5425_USA_NY_Erie_-79.073124_42.548813	WN02
KX547277_2004.7268_USA_NY_Orange_-74.06686_41.380134	WN02
KX547278_2012.7104_USA_NY_Albany_-74.164802_42.58602	WN02
KX547280_2012.6913_USA_NY_Oswego_-76.172271_43.28183	WN02
KX547281_2004.4235_USA_NY_Cortland_-76.090619_42.535221	WN02
KX547282_2004.6831_USA_NY_Orleans_-78.341642_43.357724	SW03
KX547283_2012.6612_USA_NY_Nassau_-73.417743_40.634033	WN02
KX547284_2008.6202_USA_NY_Niagara_-78.882026_43.060561	WN02
KX547285_2004.623_USA_NY_Bronx_-73.84756_40.883537	WN02
KX547286_2015.6712_USA_NY_Chautauqua_-79.160251_42.29281	WN02
KX547287_2003.7425_USA_NY_NewYork_-73.987194_40.767901	WN02
KX547288_2003.5671_USA_NY_Broome_-75.811529_42.233629	WN02
KX547289_2005.7589_USA_NY_Cortland_-76.110119_42.720279	WN02
KX547290_2007.6137_USA_NY_Schenectady_-74.225139_42.763177	WN02
KX547291_2012.6175_USA_NY_Onondaga_-76.233054_42.877937	WN02
KX547292_2009.7068_USA_NY_Suffolk_-73.232572_40.651737	WN02
KX547293_2011.6438_USA_NY_Oswego_-75.972204_43.368433	WN02
KX547294_2010.7452_USA_NY_Rockland_-74.117554_41.175017	WN02
KX547295_2011.6438_USA_NY_Nassau_-73.442529_40.634093	WN02
KX547296_2004.3579_USA_NY_Columbia_-73.669679_42.43537	WN02
KX547297_2007.5945_USA_NY_Orleans_-78.108903_43.325136	WN02
KX547298_2004.5874_USA_NY_Erie_-78.954148_43.049257	WN02
KX547299_2002.6466_USA_NY_Otsego_-75.320643_42.610779	WN02
KX547300_2009.6247_USA_NY_Ulster_-74.485783_42.117739	WN02
KX547302_2004.5902_USA_NY_Broome_-76.01832_42.079863	WN02
KX547303_2005.5671_USA_NY_Westchester_-73.701223_40.93481	WN02
KX547304_2004.6694_USA_NY_Ulster_-73.949675_41.867645	WN02
KX547305_2002.6466_USA_NY_Albany_-74.202122_42.602587	WN02
KX547306_2009.6685_USA_NY_Westchester_-73.533255_41.216757	WN02
KX547307_2005.6192_USA_NY_Bronx_-73.785224_40.85941	WN02
KX547308_2004.7459_USA_NY_Bronx_-73.787768_40.843452	WN02
KX547309_2008.6175_USA_NY_Suffolk_-73.153416_40.920685	WN02
KX547310_2003.6493_USA_NY_Westchester_-73.700461_40.934908	WN02
KX547311_2003.7315_USA_NY_Albany_-73.86941_42.48247	WN02
KX547312_2004.3825_USA_NY_Niagara_-78.886316_43.290279	WN02
KX547313_2004.5874_USA_NY_Oswego_-76.337887_43.234872	WN02
KX547314_2002.737_USA_NY_Broome_-75.753412_42.04873	WN02
KX547315_2012.6448_USA_NY_Nassau_-73.512789_40.639745	WN02
KX547316_2001.6986_USA_NY_Westchester_-73.704751_40.941756	NY99
KX547317_2004.5683_USA_NY_Nassau_-73.463764_40.61785	WN02
KX547318_2006.6301_USA_NY_Niagara_-78.946486_43.141287	SW03
KX547319_2009.6822_USA_NY_Rensselaer_-73.557939_42.677671	WN02
KX547320_2002.7096_USA_NY_Suffolk_-73.352017_40.640664	NY99
KX547321_2005.6822_USA_NY_Rockland_-73.922138_41.139294	WN02
KX547323_2013.5781_USA_NY_Westchester_-73.762856_40.876641	WN02
KX547324_2013.6164_USA_NY_Oswego_-76.328577_43.422851	WN02
KX547325_2011.7178_USA_NY_Onondaga_-76.40463_43.155699	WN02
KX547326_2007.5808_USA_NY_Nassau_-73.479228_40.611417	WN02
KX547327_2006.6438_USA_NY_Niagara_-78.923727_43.083994	WN02
KX547328_2013.5014_USA_NY_Rockland_-74.010094_41.211627	WN02
KX547330_2013.7123_USA_NY_Erie_-78.87156_42.981628	WN02
KX547331_2002.7342_USA_NY_Oswego_-76.434699_43.385994	WN02
KX547332_2005.6_USA_NY_Bronx_-73.805168_40.878258	WN02
KX547333_2013.7699_USA_NY_Suffolk_-72.099378_41.041033	WN02
KX547334_2012.4617_USA_NY_Erie_-78.945284_43.028061	WN02
KX547335_2008.5929_USA_NY_Erie_-78.595304_42.658823	WN02
KX547336_2002.6877_USA_NY_Essex_-73.624699_44.16769	WN02
KX547337_2012.7404_USA_NY_Rockland_-74.208986_41.138227	WN02
KX547338_2005.6877_USA_NY_Richmond_-74.053894_40.578085	WN02
KX547339_2007.6932_USA_NY_Suffolk_-72.916461_40.72873	WN02
KX547340_2012.623_USA_NY_Orange_-74.609024_41.420002	WN02
KX547341_2005.0822_USA_NY_Dutchess_-73.723254_41.785167	WN02
KX547342_2006.6055_USA_NY_Orange_-74.536683_41.360542	WN02
KX547343_2012.6011_USA_NY_Erie_-78.9648_42.969315	WN02
KX547344_2013.5589_USA_NY_Oswego_-75.807617_43.497278	WN02
KX547345_2004.6093_USA_NY_Rockland_-74.120609_41.149244	WN02
KX547346_2004.4617_USA_NY_Albany_-74.105227_42.525274	WN02
KX547347_2005.3945_USA_NY_Monroe_-77.463707_43.06257	SW03
KX547348_2009.6164_USA_NY_Rockland_-73.941081_41.197057	WN02
KX547349_2006.663_USA_NY_Westchester_-73.651591_41.214309	WN02
KX547350_2006.5699_USA_NY_Rockland_-73.929548_41.151075	WN02
KX547351_2004.5902_USA_NY_Nassau_-73.495219_40.619561	WN02
KX547352_2008.6175_USA_NY_Orange_-74.305182_41.429858	SW03
KX547353_2000.5246_USA_NY_Suffolk_-73.029237_40.958582	NY99
KX547354_2003.7534_USA_NY_Schoharie_-74.352824_42.645045	WN02
KX547355_2005.6986_USA_NY_Albany_-73.778416_42.765922	WN02
KX547356_2012.5984_USA_NY_Oswego_-76.212389_43.546378	WN02
KX547357_2007.5973_USA_NY_Suffolk_-72.281286_41.078816	WN02
KX547358_2013.7178_USA_NY_Rockland_-73.901066_41.077559	WN02
KX547359_2006.6164_USA_NY_Nassau_-73.418095_40.630137	WN02
KX547360_2005.6932_USA_NY_Putnam_-73.701187_41.357658	WN02
KX547361_2010.611_USA_NY_Suffolk_-73.295675_40.654605	SW03
KX547363_2003.6137_USA_NY_Onondaga_-76.399374_42.937703	WN02
KX547364_2002.6986_USA_NY_Rockland_-73.938713_41.079536	WN02
KX547366_2005.6055_USA_NY_Bronx_-73.849294_40.876142	WN02
KX547367_2006.5507_USA_NY_Richmond_-74.054349_40.57871	WN02
KX547368_2009.6548_USA_NY_Rockland_-73.933051_41.073011	WN02
KX547371_2007.7178_USA_NY_Jefferson_-76.316962_43.896755	WN02
KX547373_2009.7452_USA_NY_Niagara_-78.953921_43.264278	WN02
KX547374_2002.6411_USA_NY_Orange_-74.432388_41.537988	WN02
KX547375_2011.6849_USA_NY_Oswego_-76.202533_43.486496	SW03
KX547376_2010.7068_USA_NY_Erie_-78.924466_43.03353	WN02
KX547377_2005.5507_USA_NY_Nassau_-73.55215_40.628021	WN02
KX547379_2004.7404_USA_NY_Suffolk_-73.028568_40.958194	WN02
KX547380_2012.5246_USA_NY_Erie_-78.596543_42.685223	WN02
KX547381_2003.7534_USA_NY_Putnam_-73.631608_41.45401	WN02
KX547382_2007.6438_USA_NY_Richmond_-74.158258_40.57099	WN02
KX547383_2002.7562_USA_NY_Rockland_-74.085382_41.146763	WN02
KX547384_2006.5973_USA_NY_Richmond_-74.201012_40.613572	WN02
KX547385_2006.5671_USA_NY_Richmond_-74.201404_40.612398	WN02
KX547386_2000.5519_USA_NY_Rockland_-73.991752_41.099811	NY99
KX547387_2006.6384_USA_NY_Chautauqua_-79.194949_42.059572	SW03
KX547388_2010.6493_USA_NY_Suffolk_-73.151222_40.923643	WN02
KX547389_2012.6831_USA_NY_Suffolk_-73.419641_40.62078	WN02
KX547390_2004.6585_USA_NY_Genesee_-78.179442_42.993047	WN02
KX547391_2010.6466_USA_NY_Erie_-78.973071_43.033924	WN02
KX547392_2007.6_USA_NY_Erie_-78.960849_43.057564	WN02
KX547393_2002.5945_USA_NY_Suffolk_-72.490254_40.845718	NY99
KX547394_2006.5808_USA_NY_Suffolk_-72.098978_41.041322	WN02
KX547396_2005.7068_USA_NY_Rockland_-74.060374_41.223637	WN02
KX547397_2005.6603_USA_NY_Rensselaer_-73.287088_42.723384	WN02
KX547398_2002.6411_USA_NY_Madison_-75.595373_42.814697	WN02
KX547399_2007.6795_USA_NY_Suffolk_-72.099324_41.035146	WN02
KX547400_2006.6603_USA_NY_Queens_-73.84771_40.636987	WN02
KX547402_2002.7123_USA_NY_Onondaga_-76.104503_42.855638	WN02
KX547403_2004.3825_USA_NY_Onondaga_-76.004914_43.053426	WN02
KX547404_2008.6284_USA_NY_Albany_-74.164443_42.624951	WN02
KX547405_2003.6027_USA_NY_Tompkins_-76.429956_42.434738	WN02
KX547406_2009.7315_USA_NY_Nassau_-73.564699_40.581136	WN02
KX547408_2004.6995_USA_NY_Erie_-78.932813_43.013783	WN02
KX547409_2003.6904_USA_NY_Putnam_-73.902669_41.348827	WN02
KX547410_2012.5765_USA_NY_Oswego_-76.088299_43.561339	WN02
KX547411_2003.5205_USA_NY_Rockland_-74.008253_41.142311	WN02
KX547412_2011.6603_USA_NY_Madison_-75.508713_42.845925	WN02
KX547413_2005.5836_USA_NY_Otsego_-75.334752_42.329986	WN02
KX547415_2004.571_USA_NY_Monroe_-77.899826_43.236241	WN02
KX547416_2011.589_USA_NY_Onondaga_-76.105917_43.023457	WN02
KX547417_2011.5534_USA_NY_Rockland_-74.007554_41.254196	WN02
KX547418_2012.623_USA_NY_SaintLawrence_-75.04088_44.93197	WN02
KX547420_2006.5699_USA_NY_Suffolk_-73.180752_40.656219	WN02
KX547421_2002.6192_USA_NY_Steuben_-77.267736_42.502069	WN02
KX547422_2003.7534_USA_NY_Queens_-73.846314_40.61305	WN02
KX547423_2004.5383_USA_NY_Richmond_-74.202051_40.606488	WN02
KX547424_2007.5205_USA_NY_Onondaga_-76.218574_42.994489	WN02
KX547426_2007.6_USA_NY_Onondaga_-76.468304_43.08796	WN02
KX547427_2004.4727_USA_NY_Chautauqua_-79.181855_42.465735	WN02
KX547429_2002.6192_USA_NY_Westchester_-73.683781_40.9468	WN02
KX547430_2009.6274_USA_NY_Onondaga_-76.413939_43.032014	WN02
KX547431_2006.6247_USA_NY_Niagara_-78.813503_43.147756	WN02
KX547432_2006.6055_USA_NY_Suffolk_-73.375527_40.645137	WN02
KX547433_2006.663_USA_NY_Richmond_-74.206766_40.574543	WN02
KX547435_2006.6274_USA_NY_Kings_-74.010018_40.674092	WN02
KX547436_2008.6858_USA_NY_Erie_-78.490907_42.935371	WN02
KX547437_2003.5726_USA_NY_Suffolk_-72.480275_40.849371	WN02
KX547438_2011.6055_USA_NY_Onondaga_-76.256114_43.01794	WN02
KX547439_2003.6164_USA_NY_Niagara_-78.92281_43.195487	WN02
KX547441_2005.6219_USA_NY_Suffolk_-73.154627_40.916146	WN02
KX547442_2010.663_USA_NY_Westchester_-73.761727_40.877345	WN02
KX547443_2012.6257_USA_NY_Nassau_-73.518391_40.61727	WN02
KX547444_2002.5945_USA_NY_Niagara_-78.885497_43.287845	WN02
KX547445_2014.7096_USA_NY_Suffolk_-73.321149_40.644298	WN02
KX547446_2004.4317_USA_NY_Wyoming_-78.327979_42.840737	WN02
KX547447_2007.6_USA_NY_Suffolk_-73.356814_40.63753	WN02
KX547448_2002.6575_USA_NY_Cayuga_-76.575693_43.051156	WN02
KX547449_2011.5096_USA_NY_Suffolk_-73.291054_40.65572	WN02
KX547450_2015.5918_USA_NY_Onondaga_-76.136616_42.896677	WN02
KX547451_2006.6384_USA_NY_Monroe_-77.857449_43.004933	SW03
KX547452_2007.6164_USA_NY_Nassau_-73.656738_40.618564	WN02
KX547454_2004.5874_USA_NY_Suffolk_-73.318143_40.764495	WN02
KX547455_2003.6137_USA_NY_Nassau_-73.547964_40.628629	WN02
KX547456_2012.5792_USA_NY_Chautauqua_-79.390879_42.177975	WN02
KX547457_2011.5671_USA_NY_Nassau_-73.480905_40.641503	WN02
KX547458_2003.7233_USA_NY_Suffolk_-73.034541_40.957607	WN02
KX547459_2002.7342_USA_NY_Wyoming_-78.067929_42.567858	WN02
KX547460_2013.5945_USA_NY_Madison_-75.553976_42.79567	WN02
KX547461_2005.6_USA_NY_Suffolk_-72.09953_41.042003	WN02
KX547462_2004.4918_USA_NY_Jefferson_-76.428816_43.911336	SW03
KX547463_2009.6466_USA_NY_Suffolk_-72.752675_40.772828	WN02
KX547464_2009.7068_USA_NY_Westchester_-73.757146_40.886896	WN02
KX547465_2013.5781_USA_NY_Westchester_-73.683671_40.946135	WN02
KX547466_2003.6301_USA_NY_Suffolk_-72.08421_41.100958	NY99
KX547467_2013.6959_USA_NY_Onondaga_-76.056339_43.072023	WN02
KX547468_2003.6082_USA_NY_Columbia_-73.606382_42.13365	WN02
KX547469_2002.7151_USA_NY_Schenectady_-73.909142_42.878268	WN02
KX547470_2007.6027_USA_NY_Erie_-78.48711_42.586169	WN02
KX547472_2006.663_USA_NY_Livingston_-77.592568_42.602432	WN02
KX547473_2013.5397_USA_NY_Erie_-78.990422_42.991353	WN02
KX547474_2002.7753_USA_NY_Albany_-74.157579_42.722313	WN02
KX547475_2006.5945_USA_NY_Orleans_-78.380353_43.151087	WN02
KX547478_2001.6849_USA_NY_Rockland_-74.180605_41.151606	NY99
KX547479_2005.6822_USA_NY_Suffolk_-73.169889_40.912462	WN02
KX547480_2003.7233_USA_NY_Columbia_-73.763019_42.427243	WN02
KX547481_2005.6658_USA_NY_Nassau_-73.528734_40.628592	WN02
KX547482_2013.5973_USA_NY_Oswego_-75.944059_43.658376	WN02
KX547483_2014.5014_USA_NY_Nassau_-73.693453_40.608797	WN02
KX547484_2002.7479_USA_NY_Genesee_-77.946859_42.972063	NY99
KX547485_2014.4466_USA_NY_Rockland_-74.052508_41.10041	WN02
KX547486_2005.6986_USA_NY_Erie_-78.95007_42.995832	WN02
KX547487_2004.7568_USA_NY_NewYork_-73.94502_40.783954	WN02
KX547488_2011.7041_USA_NY_Suffolk_-73.385076_40.629235	WN02
KX547490_2002.6795_USA_NY_Chemung_-76.947426_42.139587	NY99
KX547491_2007.674_USA_NY_Queens_-73.946791_40.765551	WN02
KX547492_2002.7342_USA_NY_Westchester_-73.684239_40.945606	NY99
KX547493_2004.7158_USA_NY_Orange_-74.249288_41.562479	WN02
KX547494_2010.6959_USA_NY_Schenectady_-74.108048_42.769415	WN02
KX547496_2007.5616_USA_NY_Niagara_-78.636179_43.201488	WN02
KX547497_2012.582_USA_NY_Onondaga_-75.936792_42.911458	WN02
KX547498_2009.6877_USA_NY_Erie_-78.99706_42.984783	WN02
KX547499_2004.5328_USA_NY_Herkimer_-74.856735_43.887306	WN02
KX547500_2007.6411_USA_NY_Dutchess_-73.63644_41.575355	WN02
KX547501_2004.6913_USA_NY_Queens_-73.803726_40.617177	WN02
KX547502_2006.6986_USA_NY_Suffolk_-73.418063_40.62102	WN02
KX547503_2002.6164_USA_NY_Erie_-78.731922_42.828322	WN02
KX547504_2008.7158_USA_NY_Rockland_-73.982617_41.156334	WN02
KX547505_2002.7342_USA_NY_Warren_-74.110632_43.708082	WN02
KX547506_2002.6356_USA_NY_Lewis_-75.32508_43.970077	WN02
KX547507_2011.6082_USA_NY_Onondaga_-75.970685_43.065677	WN02
KX547508_2005.6767_USA_NY_Lewis_-75.372533_44.033346	WN02
KX547509_2002.6137_USA_NY_Westchester_-73.768378_40.884952	NY99
KX547510_2007.7014_USA_NY_Nassau_-73.602172_40.597653	SW03
KX547511_2006.6356_USA_NY_Erie_-78.967717_42.989735	WN02
KX547512_2005.6384_USA_NY_Chautauqua_-79.614471_42.136541	WN02
KX547513_2005.7014_USA_NY_Suffolk_-72.491241_40.845714	WN02
KX547514_2013.6959_USA_NY_Oswego_-76.295759_43.257544	WN02
KX547515_2009.6685_USA_NY_Schenectady_-73.939658_42.78396	WN02
KX547516_2007.6384_USA_NY_Tompkins_-76.41851_42.606962	WN02
KX547517_2009.674_USA_NY_Ulster_-74.470779_41.966996	WN02
KX547518_2009.663_USA_NY_Columbia_-73.571507_42.362602	WN02
KX547519_2000.6667_USA_NY_Westchester_-73.701869_40.944266	NY99
KX547520_2012.694_USA_NY_Westchester_-73.762368_40.87642	WN02
KX547521_2005.6274_USA_NY_Schuyler_-76.650447_42.264315	WN02
KX547522_2009.6055_USA_NY_Nassau_-73.477201_40.633023	WN02
KX547523_2005.537_USA_NY_Albany_-73.98659_42.68173	WN02
KX547524_2013.6356_USA_NY_Westchester_-73.684352_40.946927	WN02
KX547525_2002.6685_USA_NY_Montgomery_-74.394405_42.819322	WN02
KX547526_2003.6767_USA_NY_Nassau_-73.554929_40.606129	WN02
KX547527_2002.7534_USA_NY_Schenectady_-74.214146_42.7462	WN02
KX547528_2007.6438_USA_NY_Queens_-73.813833_40.625373	SW03
KX547529_2011.6438_USA_NY_Onondaga_-75.904531_42.895658	WN02
KX547531_2003.6137_USA_NY_Erie_-78.627219_42.962988	WN02
KX547532_2005.5808_USA_NY_Suffolk_-73.286398_40.645344	WN02
KX547533_2004.3825_USA_NY_Cattaraugus_-78.870995_42.189273	WN02
KX547534_2004.7432_USA_NY_Erie_-78.926789_43.010262	SW03
KX547535_2007.6795_USA_NY_Schenectady_-73.996552_42.83566	WN02
KX547536_2004.4153_USA_NY_Chautauqua_-79.135649_42.537871	WN02
KX547537_2011.737_USA_NY_Suffolk_-73.298234_40.643252	WN02
KX547538_2001.6192_USA_NY_Nassau_-73.533163_40.616735	NY99
KX547539_2007.6384_USA_NY_Tompkins_-76.281856_42.358393	SW03
KX547540_2012.7377_USA_NY_Onondaga_-75.917992_42.829033	WN02
KX547541_2009.6548_USA_NY_Nassau_-73.588843_40.6138	WN02
KX547542_2004.4317_USA_NY_Erie_-78.973246_42.97967	WN02
KX547543_2007.6767_USA_NY_Westchester_-73.680958_40.949862	WN02
KX547544_2009.6493_USA_NY_Onondaga_-75.979534_43.067832	SW03
KX547545_2007.7397_USA_NY_Monroe_-77.700098_42.944474	WN02
KX547546_2006.7151_USA_NY_Otsego_-75.173597_42.680798	WN02
KX547547_2012.6421_USA_NY_Oswego_-76.354582_43.446835	WN02
KX547548_2014.6685_USA_NY_Oswego_-76.30878_43.289205	WN02
KX547550_2003.674_USA_NY_Onondaga_-76.431353_43.085993	WN02
KX547551_2013.7534_USA_NY_Onondaga_-76.259888_43.103142	WN02
KX547552_2010.7068_USA_NY_Kings_-73.867114_40.618776	SW03
KX547553_2006.7068_USA_NY_Jefferson_-76.360404_44.048648	WN02
KX547554_2002.6959_USA_NY_Bronx_-73.896075_40.90517	NY99
KX547555_2012.541_USA_NY_Orange_-74.415059_41.458106	WN02
KX547556_2012.6803_USA_NY_Oswego_-75.942999_43.701326	WN02
KX547558_2008.6749_USA_NY_Nassau_-73.464197_40.615468	WN02
KX547559_2012.694_USA_NY_Nassau_-73.464814_40.614715	WN02
KX547560_2005.7096_USA_NY_Suffolk_-73.375169_40.644526	WN02
KX547561_2009.6658_USA_NY_Suffolk_-72.098748_41.039738	WN02
KX547562_2010.5671_USA_NY_Erie_-78.97664_43.048372	WN02
KX547563_2006.6027_USA_NY_Westchester_-73.768142_40.882375	WN02
KX547565_2013.7288_USA_NY_Onondaga_-75.969905_42.874912	WN02
KX547566_2002.5589_USA_NY_Onondaga_-76.239879_42.952092	WN02
KX547567_2006.6493_USA_NY_Cortland_-76.009325_42.6294	WN02
KX547568_2010.6329_USA_NY_Albany_-73.901675_42.618493	WN02
KX547569_2006.6027_USA_NY_Chautauqua_-79.417939_42.016269	WN02
KX547570_2005.6685_USA_NY_Rockland_-73.978134_41.195326	WN02
KX547571_2005.6986_USA_NY_Rockland_-74.049365_41.129326	WN02
KX547572_2010.5096_USA_NY_Nassau_-73.462643_40.617474	WN02
KX547573_2003.589_USA_NY_Niagara_-78.952021_43.218632	WN02
KX547574_2012.5219_USA_NY_Suffolk_-72.183032_41.185214	WN02
KX547576_2011.7644_USA_NY_Onondaga_-76.30708_43.13418	WN02
KX547577_2004.5328_USA_NY_Herkimer_-74.995225_42.99437	WN02
KX547578_2005.7945_USA_NY_Queens_-73.800424_40.605916	WN02
KX547579_2012.5492_USA_NY_Nassau_-73.482502_40.607578	WN02
